x,y,endX,endY,Type
252,178.56,361.2,161.82,Unsuccesful
193.2,181.35,180.6,186.9,Succesful
285.6,83.7,302.4,13.95,Succesful
100.8,111.6,54.6,83.7,Succesful
147,234.6,193.2,209.25,Succesful
235.2,103.23,294,125.55,Succesful
235.2,75.33,277.2,30.69,Succesful
222.6,172.98,172.2,122.7,Succesful
172.2,142.29,126,100.44,Succesful
92.4,225.99,46.2,256.68,Succesful
88.2,106.2,142.8,89.28,Succesful
147,147.87,88.2,83.7,Succesful
130.2,89.28,92.4,167.4,Succesful
189,136.71,151.2,172.98,Succesful
260.4,237.15,226.8,267.8,Succesful
205.8,119.97,193.2,206.4,Succesful
264.6,89.28,235.2,41.85,Succesful
252,150.66,226.8,128.34,Succesful
134.4,159.03,189,164.61,Succesful
222.6,178.6,273,156.24,Succesful
239.4,181.35,210,175.77,Succesful
256.2,212.04,285.6,203.6,Succesful
235.2,228.72,277.2,259.4,Succesful
243.6,192.51,235.2,170.1,Succesful
100.8,242.73,159.6,198,Succesful
142.8,178.56,239.4,170.1,Succesful
117.6,256.68,168,234.36,Unsuccesful
46.2,267.84,184.8,234.36,Succesful
243.6,128.34,285.6,139.5,Succesful
29.4,97.65,121.8,69.75,Unsuccesful
54.6,189.72,100.8,117.18,Unsuccesful
231,242.73,218.4,214.83,Succesful
163.8,212.04,243.6,214.8,Succesful
252,39.06,246.6,39.06,Succesful
